augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features
rff_30,ridge,0.001757,0.029622,0.077314,170,17,10,71,30,0,510,,,,24
qunified_z_6q_3L_3ens,ridge,0.001798,0.02929,0.018082,170,17,10,59,18,0,216,23.0,6.0,43.0,24
identity,ridge,0.001799,0.029558,-0.003478,170,17,10,41,0,0,0,,,,24
rff_96,ridge,0.0018,0.029606,0.047567,170,17,10,137,96,0,1632,,,,24
qunified_z_8q_3L_3ens_linear,ridge,0.001811,0.029703,-0.001477,170,17,10,65,24,0,288,16.0,8.0,54.0,24
qunified_z_8q_5L_3ens,ridge,0.001814,0.029595,0.001085,170,17,10,65,24,0,432,47.0,8.0,89.0,24
rff_10,ridge,0.001818,0.029794,-0.020129,170,17,10,51,10,0,170,,,,24
qunified_zzz_6q_3L_3ens,ridge,0.001819,0.029772,0.031225,170,17,10,104,63,0,216,23.0,6.0,43.0,24
qunified_z_8q_3L_3ens_pca,ridge,0.001822,0.029826,-0.024804,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_xyz_6q_3L_3ens,ridge,0.001823,0.029683,0.026535,170,17,10,95,54,0,216,23.0,6.0,43.0,24
qunified_z_8q_3L_3ens,ridge,0.001828,0.030038,-0.026597,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_xyz_8q_3L_3ens,ridge,0.001835,0.030159,-0.009402,170,17,10,113,72,0,288,29.0,8.0,57.0,24
qunified_z_8q_2L_3ens,ridge,0.001836,0.029735,-0.040408,170,17,10,65,24,0,216,20.0,8.0,41.0,24
rff_50,ridge,0.00185,0.029772,-0.032875,170,17,10,91,50,0,850,,,,24
qunified_zzz_8q_3L_3ens,ridge,0.00185,0.030208,-0.023234,170,17,10,149,108,0,288,29.0,8.0,57.0,24
poly_deg2_interact,ridge,0.002154,0.032799,0.031839,170,17,10,177,136,0,0,,,,24
interaction_log,ridge,0.002192,0.033001,0.011606,170,17,10,211,170,0,0,,,,24
poly_deg2,ridge,0.002299,0.033959,0.016426,170,17,10,194,153,0,0,,,,24
